Name,Price
HP ProBook 440 G10 I5-13th Gen/8GB RAM/512GB SSD/14 HD Display,"Rs. 96,899"
"HP Pavilion X360 14"" Core i5 1035G1 8GB RAM 256GB SSD Convertible Laptop","Rs. 99,999"
Dell Vostro i5-11th Gen 8/512,"Rs. 79,999"
"Great Asia TK-E140: High-Performance Windows Laptop | 14"" HD Display | Intel N3350 CPU | 6GB RAM , 128GB SSD","Rs. 35,000"
"Dell Latitude 5300 2 in 1 Laptop, 13.3-inch FHD (1920 x 1080) Touchscreen, Intel Core 8th Gen i5-8365U, 8GB RAM, 256GB SSD, Windows 10 (Renewed)","Rs. 39,999"
"Laptop Dell Latitude 5300 , 13.3"" Intel Core i5-8365U 1.6GHz up to 4.1GHz, 8GB DDR4 RAM, 256GB SSD, Backlit Keyboard","Rs. 34,999"
TK-E142 | 8GB RAM | 256GB ROM | Intel N4020 | Windows 11 | 14.0-inch Display | Long-lasting Battery | Smooth Multitasking | Seamless Connectivity | Ideal for Work & Entertainment,"Rs. 40,000"
Dell Vostro 3520 i5 12th Generation 8Gb Ram 512Gb SSD,"Rs. 66,500"
"Acer Aspire 5 A515-56-363A, 15.6"" Full HD IPS Display, 11th Gen Intel Core i3-1115G4 Processor, 4GB DDR4, 128GB NVMe SSD, WiFi 6, Backlit Keyboard, Windows 10 Home","Rs. 30,000"
xLab x-Book Series XL-156P Laptop + Accessories + Security & Software,"Rs. 49,999"
"Lenovo V15 Laptop, 15.6"" FHD Display, AMD Ryzen 5 5500U Hexa-core Processor (Beat Intel i7-1065G7), 16GB RAM, 1TB SSD","Rs. 49,000"
Lenovo Ideapad Slim 3,"Rs. 89,000"
Dell Wyse 5470 (Intel Celeron Processor | 8GB RAM | 256GB SSD Storage | Intel UHD Graphics | 14″ FHD Display),"Rs. 36,999"
Dell Vostro 3520 i5 12th 8GB 512GB 15.6 FHD,"Rs. 65,990"
Dell Vostro 3530 Intel Core i5 13th Gen 1334U – 16GB DDR4 RAM – 512GB NVMe SSD – Intel Iris Xe Integrated Graphics – 15.6” FHD Display – Black,"Rs. 78,999"
"Dell Latitude 5300 2-in-1 13.3"" FHD Touchscreen Laptop, Intel Core 8th Gen i5-8650U, 8GB DDR4 RAM - 256GB SSD 13.3FHD","Rs. 45,000"
Lenovo IdeaPad 1 Ryzen 5-7520U 2023 8Gb Ram 512Gb SSD 14 inch FHD Display 1 Year Warranty,"Rs. 60,000"
"Dell Vostro 3520 i5 12th Gen | 8GB RAM | 256GB SSD | 15.6"" 120Hz FHD | Black","Rs. 61,500"
Dell Latitude 7490 Core I5 7th Gen 8 GB RAM 256 GB SSD Windows 10,"Rs. 65,000"
Aspire 7 Gaming Laptop,"Rs. 98,999"
"Lenovo V14 G4 - AMD Ryzen 7 77300U, 14"" IPS FHD, 16 GB DDR4 RAM, 512 GB Gen 4 NVMe SSD, 45 WHr Battery, LAN Port, Free DOS, 1 Year Warranty / NAGMANI INTERNATIONAL","Rs. 87,900"
"HP 14S-FQ1052AU AMD Ryzen 3 5300U 4GB 256GB SSD 14""","Rs. 63,000"
"Dell Vostro 15 3520 i5 12th Gen | 8GB RAM | 512GB SSD | 15.6"" FHD display","Rs. 67,999"
"MSI Pulse GL66 15.6"" FHD 144Hz Gaming Laptop: Intel Core i7-12700H RTX 3070 16GB 512GB NVMe SSD, Type-C USB 3.2 Gen 1, RGB Gaming Keyboard, Cooler Boost 5, Win11","Rs. 118,000"
